40423,5913,19300,1615,12665,2,898,1143,8877,0,540,0,1172,405,2508,941,18494,0,1,2,0,6,2,2,341,329,5,113,0,0,1073,0,3421,397,23812,0
39827,5734,18857,1656,12031,2,947,1058,8230,0,457,0,1057,411,2581,1067,18898,0,3,2,0,1,2,1,365,327,4,143,0,0,1184,0,3472,399,25684,0
36567,5687,18964,1402,13524,2,1018,1077,9776,0,445,0,1110,405,2553,1044,19736,0,3,2,0,4,3,0,372,372,4,137,0,0,1079,0,3591,391,25132,0
36837,5364,19629,1090,15145,0,639,1239,11476,0,623,0,1172,306,1964,751,20415,0,1,2,0,2,4,1,423,242,2,119,0,0,556,0,2760,354,23284,0
35817,5267,19466,1091,15262,3,725,1181,11801,0,553,0,1159,317,1991,831,20412,0,0,2,0,2,0,2,387,307,8,125,0,0,533,0,2708,430,24020,0
40057,5131,18547,1266,12831,5,699,986,9686,0,441,0,1000,302,1840,795,20547,0,3,3,0,2,0,1,273,239,6,150,0,0,705,0,2662,246,25977,0
35331,5146,19077,1019,14943,0,733,958,11428,0,464,0,1044,284,1785,855,21361,0,0,2,0,6,1,3,339,267,10,155,0,0,494,0,2584,337,25774,0
38256,5729,19729,1556,12926,6,1039,1048,9364,0,468,0,1192,453,2587,984,18641,0,3,4,0,6,3,4,385,358,7,104,0,0,1191,0,3475,476,24406,0
35801,5907,19978,1412,14641,3,923,1070,10506,0,489,0,1154,466,2407,956,19717,0,4,2,0,7,3,1,437,367,5,102,0,0,944,0,3482,445,23171,0
37577,5484,18499,1459,12776,3,895,999,9257,0,530,0,1176,402,2326,903,20479,0,0,4,0,5,4,1,291,286,3,156,0,0,991,0,3116,326,26452,0
40888,5494,17749,1795,11450,2,878,955,8230,0,420,0,944,410,2495,1066,19157,0,0,7,0,5,4,4,343,283,7,157,0,0,1330,0,3378,336,26613,0
41488,5018,18675,1151,14203,3,844,788,10834,0,302,0,709,361,1581,926,20202,0,0,0,0,3,2,0,248,218,6,136,0,0,572,0,2346,254,23530,0
